time,preempt_type,preempt_priority,victim_type,victim_priority,want_blocks,get_blocks
879,architect,2,mcp_file_query,10,1,5153
880,architect,5,mcp_file_query,10,1,5165
881,mcp_file_write,8,mcp_file_write,8,691,3197
887,programmer,9,mcp_conditional_execution,4,1,2038
895,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2183
895,mcp_file_query,10,mcp_file_write,8,1,4239
898,mcp_search,6,mcp_search,6,2032,991
900,programmer,9,reviewer,12,1,8639
901,architect,2,reviewer,12,1,8652
904,mcp_file_write,11,mcp_file_write,11,2033,2531
911,reviewer,12,mcp_search,3,1,1917
915,mcp_conditional_execution,7,mcp_conditional_execution,7,1550,2308
919,mcp_conditional_execution,4,mcp_conditional_execution,4,1510,672
921,mcp_search,3,mcp_conditional_execution,7,1,3904
924,architect,2,mcp_conditional_execution,4,1,2182
928,reviewer,12,mcp_conditional_execution,7,1,4045
930,architect,5,architect,5,314,1732
935,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2030,594
936,mcp_search,6,mcp_search,3,1,1399
938,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2033,4651
943,reviser,13,reviser,13,2035,429
947,reviser,13,reviser,13,2036,2452
953,mcp_search,6,mcp_external_tool_eval,13,1,9013
959,reviser,13,reviser,13,2037,6517
966,programmer,9,mcp_file_write,8,1,3676
969,architect,5,architect,5,737,1242
972,mcp_search,3,architect,2,1,415
974,reviser,13,architect,5,1,2070
979,mcp_file_query,10,mcp_search,3,1,1903
985,reviewer,12,mcp_conditional_execution,4,1,1864
989,mcp_search,3,architect,2,1,1037
990,reviser,13,mcp_search,3,1,1628
994,mcp_search,3,reviewer,12,1,8361
995,reviewer,12,architect,2,1,1043
995,architect,5,mcp_search,3,1,1636
995,mcp_file_query,10,reviewer,12,1,8376
995,mcp_file_query,10,reviewer,12,1,8377
1000,mcp_search,6,mcp_search,6,1125,2270
1003,mcp_conditional_execution,7,mcp_conditional_execution,7,2030,1180
1004,mcp_conditional_execution,4,mcp_conditional_execution,4,1878,341
1010,programmer,9,mcp_search,3,1,1918
1015,programmer,9,mcp_conditional_execution,4,1,2220
1021,mcp_conditional_execution,4,mcp_file_query,10,1,4876
1025,programmer,9,mcp_search,3,1,1404
1028,mcp_search,6,mcp_search,3,1,1482
1030,architect,5,mcp_file_query,10,1,5059
1030,mcp_conditional_execution,4,mcp_search,3,1,1487
1031,mcp_search,6,architect,2,1,303
1031,mcp_search,6,architect,5,1,2138
1033,mcp_file_write,11,mcp_file_write,11,2032,2391
1036,architect,2,architect,2,1,957
1037,mcp_file_write,8,mcp_file_write,8,1755,2339
1038,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2031,939
1040,mcp_search,6,mcp_search,3,1,1987
1041,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2032,2957
1045,mcp_search,3,mcp_search,3,1,2114
1049,architect,2,mcp_file_write,8,1,4468
1054,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2033,4971
1055,reviser,13,reviser,13,2034,1028
1057,architect,2,mcp_external_tool_eval,13,1,8486
1060,reviser,13,reviser,13,2037,5098
1062,reviser,13,reviser,13,1268,7126
1068,mcp_conditional_execution,4,mcp_conditional_execution,4,826,947
1075,mcp_file_write,8,architect,2,1,971
1076,mcp_conditional_execution,7,mcp_conditional_execution,7,1526,2316
1083,reviewer,12,mcp_conditional_execution,7,1,3893
1089,mcp_user_confirm,14,mcp_user_confirm,14,2037,2682
1101,mcp_file_write,14,mcp_file_write,14,2037,1959
1103,architect,5,architect,5,1245,725
1104,mcp_conditional_execution,7,architect,2,1,280
1105,architect,2,architect,5,1,2019
1110,mcp_file_write,14,mcp_search,3,1,1893
1115,architect,5,mcp_conditional_execution,4,1,2229
1122,architect,5,mcp_conditional_execution,7,1,3481
1124,mcp_search,3,programmer,9,1,3851
1124,architect,5,programmer,9,1,3853
1124,mcp_user_confirm,14,programmer,9,1,3861
1135,mcp_search,6,mcp_search,6,942,2494
1137,mcp_file_query,10,mcp_file_query,10,848,4507
1143,architect,2,mcp_file_query,10,1,5378
1144,mcp_conditional_execution,7,mcp_file_query,10,1,5408
1145,mcp_file_query,10,mcp_file_query,10,1,5424
1150,mcp_conditional_execution,4,mcp_file_query,10,1,5466
1151,mcp_search,6,mcp_file_query,10,1,5509
1152,programmer,9,mcp_file_query,10,1,5575
1155,mcp_conditional_execution,4,mcp_search,3,1,1905
1156,mcp_file_write,11,mcp_file_write,11,2033,2416
1163,mcp_search,6,mcp_search,3,1,2165
1167,mcp_file_write,8,mcp_file_write,8,2032,1120
1171,mcp_file_query,10,mcp_conditional_execution,4,1,2203
1175,architect,5,architect,2,1,764
1176,architect,2,mcp_search,3,1,2107
1180,mcp_search,3,mcp_search,3,1,1744
1181,mcp_file_write,11,mcp_conditional_execution,4,1,2225
1181,mcp_search,3,architect,2,1,790
1182,programmer,9,mcp_search,3,1,2145
1182,programmer,9,mcp_search,3,1,1782
1184,mcp_file_write,11,mcp_conditional_execution,4,1,2261
1184,mcp_conditional_execution,7,mcp_conditional_execution,7,2030,1385
1189,mcp_file_write,11,mcp_conditional_execution,4,1,2086
1194,mcp_search,3,mcp_conditional_execution,4,1,2200
1195,mcp_file_write,11,mcp_search,3,1,1706
1199,programmer,9,mcp_conditional_execution,4,1,2750
1202,mcp_file_write,8,mcp_file_write,8,2031,1111
1203,mcp_search,6,mcp_search,6,2032,629
1205,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2033,4482
1210,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2035,6515
1218,mcp_search,3,mcp_external_tool_eval,13,1,9223
1226,mcp_file_query,10,mcp_file_query,10,2037,597
1229,mcp_file_write,8,architect,5,1,2135
1234,reviewer,12,reviewer,12,2037,5486
1238,architect,5,architect,2,1,821
1239,mcp_conditional_execution,4,architect,5,1,2346
1245,mcp_search,3,architect,2,1,916
1246,mcp_conditional_execution,4,architect,2,1,869
1249,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2208
1255,reviser,13,reviser,13,2034,6478
1269,mcp_file_write,11,mcp_file_write,11,1410,4223
1271,mcp_search,3,mcp_search,3,930,514
1272,mcp_search,3,mcp_search,6,1,3078
1277,reviser,13,architect,2,1,730
1278,mcp_file_write,11,mcp_search,3,1,1486
1281,mcp_file_write,11,architect,2,1,773
1281,mcp_file_write,11,mcp_search,3,1,1529
1283,mcp_file_write,11,architect,2,1,834
1283,programmer,9,mcp_search,3,1,1591
1284,mcp_search,6,mcp_search,6,1,3312
1288,mcp_conditional_execution,4,mcp_conditional_execution,4,1340,464
1291,programmer,9,mcp_search,3,1,1995
1296,mcp_file_write,11,architect,2,1,1093
1296,programmer,9,mcp_search,3,1,1867
1298,mcp_file_write,11,mcp_search,6,1,3651
1301,mcp_file_write,11,architect,2,1,1237
1304,architect,5,architect,5,1328,659
1308,mcp_search,3,mcp_file_write,8,1,3762
1309,architect,5,mcp_file_write,8,1,3778
1318,architect,2,mcp_file_query,10,1,5663
1318,mcp_conditional_execution,7,mcp_conditional_execution,7,2035,1057
1321,mcp_user_confirm,14,mcp_search,3,1,1494
1332,mcp_search,3,mcp_search,3,1,1763
1334,mcp_conditional_execution,7,mcp_conditional_execution,7,734,3091
1338,mcp_conditional_execution,7,mcp_conditional_execution,7,1675,1896
1341,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2033,1539
1347,architect,5,mcp_search,6,1,3395
1350,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2034,3567
1364,mcp_conditional_execution,4,mcp_search,6,1,3871
1370,architect,2,mcp_conditional_execution,4,1,2816
1371,mcp_external_tool_eval,13,mcp_external_tool_eval,13,643,7611
1372,mcp_file_write,14,mcp_file_write,14,2036,2387
1373,mcp_file_write,14,mcp_file_write,14,2037,6458
1375,mcp_conditional_execution,4,mcp_conditional_execution,4,590,1761
1381,mcp_external_tool_eval,13,architect,2,1,485
1382,programmer,9,programmer,9,1,4528
1382,mcp_file_write,14,architect,2,1,493
1382,programmer,9,programmer,9,1,4543
1383,mcp_search,6,programmer,9,1,4577
1383,mcp_external_tool_eval,13,architect,2,1,498
1383,architect,2,programmer,9,1,4549
1384,mcp_search,3,programmer,9,1,4584
1384,mcp_search,3,programmer,9,1,4598
1387,mcp_search,3,mcp_search,3,1,1312
1391,mcp_external_tool_eval,13,architect,2,1,811
1392,architect,2,mcp_conditional_execution,4,1,2588
1394,mcp_file_write,14,architect,2,1,826
1396,mcp_search,3,programmer,9,1,4938
1396,mcp_search,3,programmer,9,1,4940
1396,mcp_file_write,14,programmer,9,1,4992
1397,mcp_conditional_execution,4,programmer,9,1,4997
1398,mcp_file_write,14,programmer,9,1,5070
1408,reviser,13,reviser,13,2033,5473
1419,architect,2,architect,5,1,2029
1423,mcp_conditional_execution,4,architect,5,1,2082
1424,mcp_file_write,8,reviser,13,1,8408
1424,mcp_search,3,architect,5,1,2086
1424,architect,5,reviser,13,1,8414
1424,mcp_search,3,reviser,13,1,8416
1431,mcp_search,6,mcp_search,6,2034,347
1431,mcp_search,3,mcp_conditional_execution,4,1,2113
1434,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2192
1438,reviewer,12,reviewer,12,1466,6860
1440,mcp_file_query,10,mcp_file_query,10,2038,2494
1443,mcp_conditional_execution,4,mcp_file_query,10,1,4940
1447,mcp_search,6,mcp_file_query,10,1,5084
1459,architect,5,architect,5,1773,726
1462,mcp_search,3,mcp_search,6,1,3408
1464,mcp_file_query,10,architect,5,1,2531
1467,mcp_user_confirm,14,mcp_user_confirm,14,2037,2466
1472,mcp_user_confirm,14,mcp_user_confirm,14,2038,4502
1479,mcp_user_confirm,14,mcp_external_tool_eval,13,1,9183
1491,mcp_search,6,mcp_search,3,1,1823
1493,mcp_external_tool_eval,13,mcp_conditional_execution,7,1,3510
1499,mcp_file_write,11,mcp_file_write,11,2041,2419
1506,mcp_external_test,15,mcp_external_test,15,2037,1369
1510,mcp_file_write,11,mcp_search,3,1,1840
1517,mcp_search,3,mcp_search,3,1,1392
1520,mcp_conditional_execution,7,mcp_external_test,15,1,8632
1528,mcp_conditional_execution,7,programmer,9,1,3973
1534,mcp_file_write,11,programmer,9,1,3962
1534,programmer,9,programmer,9,1,3984
1534,mcp_search,6,programmer,9,1,3989
1535,programmer,9,mcp_search,6,1,3282
1536,mcp_search,3,mcp_search,3,689,984
1539,mcp_file_write,11,mcp_conditional_execution,4,1,1991
1543,architect,5,mcp_conditional_execution,4,1,1853
1544,mcp_file_write,14,mcp_file_write,14,2032,1177
1546,programmer,9,mcp_search,3,1,1461
1549,mcp_search,3,mcp_conditional_execution,4,1,2012
1551,programmer,9,architect,5,1,2453
1560,mcp_file_write,14,mcp_file_write,14,1186,7276
1566,reviser,13,reviser,13,2036,1226
1566,reviser,13,reviser,13,2037,3253
1567,reviser,13,reviser,13,2038,5286
1569,mcp_search,3,mcp_search,3,1261,450
1570,mcp_file_write,8,mcp_file_write,8,2037,1095
1575,mcp_search,3,mcp_search,3,604,1098
1579,architect,5,architect,5,1,2608
1580,mcp_search,6,mcp_search,6,1763,1665
1584,programmer,9,programmer,9,2038,595
1585,mcp_file_write,14,mcp_search,6,1,3484
1595,mcp_search,3,mcp_search,6,1,3706
1601,mcp_conditional_execution,7,mcp_conditional_execution,7,682,2855
1604,mcp_file_write,11,mcp_file_write,11,2035,2358
1610,mcp_file_write,8,mcp_file_write,8,1329,2354
1615,programmer,9,mcp_file_write,8,1,3687
1621,mcp_file_write,11,mcp_search,3,1,1710
1626,architect,5,architect,5,1444,558
1628,mcp_file_write,8,mcp_conditional_execution,4,1,1928
1633,programmer,9,mcp_file_write,8,1,3910
1634,mcp_file_write,11,mcp_search,3,1,1976
1635,mcp_search,6,mcp_search,6,1512,1820
1638,mcp_file_query,10,mcp_file_query,10,2035,1195
1640,mcp_search,3,mcp_search,3,814,538
1642,architect,5,mcp_conditional_execution,4,1,2223
1645,mcp_file_query,10,mcp_search,3,1,1778
1647,mcp_search,6,mcp_conditional_execution,7,1,3557
1652,mcp_file_query,10,mcp_search,3,1,1874
1652,mcp_search,3,mcp_conditional_execution,7,1,3654
1658,mcp_file_query,10,mcp_search,3,1,1836
1661,mcp_conditional_execution,4,mcp_conditional_execution,4,1804,513
1666,mcp_search,3,mcp_conditional_execution,4,1,2036
1666,mcp_search,3,mcp_conditional_execution,4,1,2319
1668,mcp_search,6,mcp_search,6,2034,472
1672,mcp_user_confirm,14,mcp_user_confirm,14,2035,2992
1673,mcp_file_write,11,mcp_file_write,11,2038,2267
1676,architect,5,mcp_file_write,11,1,5496
1676,mcp_search,3,mcp_file_write,11,1,5496
1685,mcp_file_write,11,mcp_file_write,11,1,5647
1685,mcp_conditional_execution,4,mcp_file_write,11,1,5648
1685,mcp_user_confirm,14,mcp_file_write,11,1,5652
1685,mcp_search,3,mcp_file_write,11,1,5650
1685,mcp_conditional_execution,4,mcp_file_write,11,1,5667
1685,mcp_search,6,mcp_file_write,11,1,5668
1690,mcp_conditional_execution,4,mcp_conditional_execution,7,1,3691
1695,programmer,9,programmer,9,1552,2375
1702,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2037,883
1702,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2038,2918
1703,mcp_external_tool_eval,13,mcp_external_tool_eval,13,1217,6990
1711,mcp_search,3,mcp_search,3,1,2096
1719,mcp_file_write,8,mcp_file_write,8,2037,1090
1723,architect,5,mcp_search,6,1,3615
1726,mcp_external_tool_eval,13,mcp_search,3,1,1354
1729,mcp_conditional_execution,4,mcp_file_write,8,1,3883
1739,mcp_conditional_execution,7,mcp_conditional_execution,7,1004,2614
1740,mcp_conditional_execution,4,mcp_conditional_execution,4,1866,516
1744,mcp_search,3,mcp_conditional_execution,4,1,1916
1747,reviewer,12,mcp_conditional_execution,4,1,2397
1754,mcp_file_query,10,mcp_file_query,10,2037,2389
1762,mcp_search,3,mcp_conditional_execution,4,1,2732
1764,architect,5,mcp_conditional_execution,4,1,2507
1767,architect,5,mcp_file_query,10,1,5398
1770,mcp_external_test,15,mcp_external_test,15,2037,6711
1774,reviser,13,reviser,13,2037,2210
1775,reviser,13,reviser,13,2038,4246
1789,mcp_search,6,mcp_search,6,2038,360
1790,programmer,9,programmer,9,2036,2104
1797,reviser,13,architect,5,1,2263
1805,mcp_search,3,mcp_conditional_execution,4,1,2159
1807,mcp_conditional_execution,7,mcp_conditional_execution,7,1429,2308
1808,mcp_search,6,mcp_search,6,2035,843
1810,programmer,9,mcp_search,6,1,3144
1817,mcp_conditional_execution,4,mcp_conditional_execution,7,1,4046
1824,mcp_file_write,14,mcp_file_write,14,877,8542
1830,reviewer,12,reviewer,12,667,7109
1837,architect,5,architect,5,1,2688
1840,mcp_conditional_execution,7,mcp_conditional_execution,7,1291,2167
1842,mcp_conditional_execution,4,mcp_conditional_execution,4,809,932
1845,mcp_conditional_execution,7,mcp_conditional_execution,7,1,3555
1848,mcp_file_write,11,mcp_file_write,11,2037,1606
1855,mcp_conditional_execution,4,mcp_conditional_execution,4,1,1968
1855,mcp_file_write,11,mcp_file_write,11,1444,3638
1859,mcp_user_confirm,14,mcp_user_confirm,14,2038,5959
1862,mcp_file_write,11,mcp_user_confirm,14,1,8374
1875,mcp_conditional_execution,7,mcp_search,6,1,3066
1879,mcp_file_write,8,mcp_file_write,8,2038,593
1889,mcp_file_write,11,architect,5,1,2316
1891,mcp_file_write,8,mcp_file_write,8,1440,2633
1904,architect,5,architect,5,963,1506
1907,mcp_file_query,10,mcp_file_query,10,1,4976
1909,mcp_file_query,10,mcp_file_query,10,1,5039
1911,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2035,2436
1914,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2036,4468
1925,mcp_file_query,10,mcp_file_query,10,1,5441
1926,mcp_conditional_execution,4,mcp_file_query,10,1,5539
1929,architect,5,mcp_file_query,10,1,5727
1937,mcp_conditional_execution,7,mcp_conditional_execution,7,2037,622
1939,mcp_search,6,mcp_search,6,1954,1472
1941,mcp_file_query,10,mcp_conditional_execution,4,1,2145
1951,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2304
1956,mcp_search,6,architect,5,1,2010
1963,architect,5,mcp_search,6,1,3443
1971,mcp_user_confirm,14,mcp_user_confirm,14,2039,2890
1973,programmer,9,programmer,9,2040,1124
1977,mcp_conditional_execution,4,mcp_search,6,1,3648
1979,programmer,9,programmer,9,1026,3161
1992,programmer,9,mcp_conditional_execution,7,1,4013
1995,mcp_file_query,10,mcp_file_query,10,2038,2377
2002,mcp_file_query,10,mcp_file_query,10,910,4407
2006,mcp_file_write,14,mcp_file_write,14,868,7524
2010,mcp_file_query,10,architect,5,1,2310
2016,reviewer,12,mcp_file_write,14,1,8672
2016,programmer,9,mcp_file_write,14,1,8628
2017,mcp_conditional_execution,4,mcp_file_write,14,1,8636
2022,mcp_conditional_execution,7,mcp_conditional_execution,7,526,2966
2025,reviser,13,reviser,13,2038,1907
2034,mcp_file_write,8,mcp_conditional_execution,7,1,3772
2038,reviser,13,reviser,13,2041,5974
2041,architect,5,architect,5,1550,497
2043,mcp_file_write,14,programmer,9,1,3967
2043,programmer,9,programmer,9,1,3968
2043,mcp_file_write,8,programmer,9,1,3970
2048,architect,5,programmer,9,1,3982
2048,mcp_file_write,14,programmer,9,1,3989
