time,mcp_conditional_execution,mcp_external_test,mcp_external_tool_eval,mcp_file_query,mcp_file_write,mcp_search,mcp_user_confirm,gpu_kv_usage
183,0,0,0,0,0,131,0,13.1
185,0,0,0,0,0,254,0,13.5
186,0,0,0,0,0,123,0,13.5
188,0,0,0,0,0,273,0,13.5
189,0,0,0,0,0,150,0,13.5
190,0,0,0,0,0,273,0,13.5
192,0,0,0,0,0,123,0,13.5
192,0,0,0,0,0,265,0,13.5
193,0,0,0,0,0,385,0,13.5
195,0,0,0,0,0,262,0,13.3
195,0,0,0,0,0,405,0,13.3
196,0,0,0,0,0,263,0,13.3
196,0,0,0,0,0,385,0,13.3
197,0,0,0,0,0,265,0,13.3
198,0,0,0,0,0,418,0,13.3
199,0,0,0,0,0,275,0,13.3
200,0,0,0,0,0,393,0,13.3
200,0,0,0,0,0,271,0,13.3
201,0,0,0,0,0,418,0,13.3
202,0,0,0,0,0,265,0,13.3
203,0,0,0,0,0,393,0,13.3
204,0,0,0,0,0,275,0,13.3
205,0,0,0,0,0,419,0,15.1
206,0,0,0,0,0,272,0,15.1
206,0,0,0,0,0,391,0,15.1
207,0,0,0,0,0,263,0,15.1
207,0,0,0,0,0,398,0,15.1
208,0,0,0,0,0,519,0,15.1
209,0,0,0,0,0,375,0,15.1
210,0,0,0,0,0,256,0,15.1
211,0,0,0,0,0,404,0,15.1
211,0,0,0,0,0,269,0,15.1
212,0,0,0,0,0,148,0,15.1
213,0,0,0,0,0,272,0,15.1
213,158,0,0,0,0,272,0,15.1
213,0,0,0,0,0,272,0,15.1
214,0,0,0,0,0,124,0,15.8
215,0,0,0,0,0,269,0,15.8
216,0,0,0,0,0,145,0,15.8
216,150,0,0,0,0,145,0,15.8
217,0,0,0,0,0,145,0,15.8
219,177,0,0,0,0,0,0,15.8
220,0,0,0,0,0,0,0,15.8
222,151,0,0,0,0,0,0,15.8
222,0,0,0,0,0,0,0,15.8
224,170,0,0,0,0,0,0,15.8
224,0,0,0,0,0,0,0,17.5
225,147,0,0,0,0,0,0,17.5
226,0,0,0,0,0,0,0,17.5
227,171,0,0,0,0,0,0,17.5
227,0,0,0,0,0,0,0,17.5
229,149,0,0,0,0,0,0,17.5
229,0,0,0,0,0,0,0,17.5
231,179,0,0,0,0,0,0,17.5
231,0,0,0,0,0,0,0,17.5
232,145,0,0,0,0,0,0,17.5
233,0,0,0,0,0,0,0,17.5
234,174,0,0,0,0,0,0,19.2
235,0,0,0,0,0,0,0,19.2
235,155,0,0,0,0,0,0,19.2
236,0,0,0,0,0,0,0,19.2
238,171,0,0,0,0,0,0,19.2
239,0,0,0,0,0,0,0,19.2
240,0,0,0,0,161,0,0,19.2
241,162,0,0,0,161,0,0,19.2
241,0,0,0,0,161,0,0,19.2
242,0,0,0,0,0,0,0,19.2
243,148,0,0,0,0,0,0,19.2
243,0,0,0,0,0,0,0,19.2
244,0,0,0,0,171,0,0,19.2
245,0,0,0,0,0,0,0,18.3
245,175,0,0,0,0,0,0,18.3
246,0,0,0,0,0,0,0,18.3
247,151,0,0,0,0,0,0,18.3
248,0,0,0,0,0,0,0,18.3
248,0,0,0,0,163,0,0,18.3
249,0,0,0,0,0,0,0,18.3
251,172,0,0,0,0,0,0,18.3
252,0,0,0,0,0,0,0,18.3
252,0,0,0,0,190,0,0,18.3
253,0,0,0,0,0,0,0,18.3
255,0,0,0,0,163,0,0,20.3
256,0,0,0,0,0,0,0,20.3
257,0,0,0,0,181,0,0,20.3
258,0,0,0,0,341,0,0,20.3
258,0,0,0,0,160,0,0,20.3
260,0,0,0,0,0,0,0,20.3
260,0,0,0,0,181,0,0,20.3
262,0,0,0,0,0,0,0,20.3
262,0,0,0,0,162,0,0,20.3
264,0,0,0,0,0,0,0,20.3
264,0,0,0,0,193,0,0,20.3
266,0,0,0,0,0,0,0,20.9
266,0,0,0,0,158,0,0,20.9
268,0,0,0,0,0,0,0,20.9
269,0,0,0,0,187,0,0,20.9
270,0,0,0,0,355,0,0,20.9
272,0,0,0,0,168,0,0,20.9
272,0,0,0,0,0,0,0,20.9
275,0,0,0,0,339,0,0,23.3
276,0,0,0,0,513,0,0,23.3
277,0,0,0,0,174,0,0,23.3
277,0,0,0,0,335,0,0,23.3
278,0,0,0,0,161,0,0,23.3
279,0,0,0,0,0,0,0,23.3
282,0,0,0,0,187,0,0,23.3
283,0,0,0,0,350,0,0,23.3
284,0,0,0,0,163,0,0,23.3
286,0,0,0,0,0,0,0,23.5
290,0,0,0,0,186,0,0,23.5
292,0,0,0,0,0,0,0,23.5
312,0,0,0,600,0,0,0,26.1
313,0,0,0,0,0,0,0,26.1
320,0,0,0,630,0,0,0,25.8
321,0,0,0,420,0,0,0,25.8
321,0,0,0,0,0,0,0,25.8
327,0,0,0,606,0,0,0,27.4
328,0,0,0,0,0,0,0,27.4
333,0,0,0,687,0,0,0,27.4
334,0,0,0,0,0,0,0,27.4
337,0,0,0,609,0,0,0,29.2
337,0,0,0,0,0,0,0,29.2
339,0,0,0,666,0,0,0,29.2
341,0,0,0,0,0,0,0,29.2
341,0,0,0,597,0,0,0,29.2
342,0,0,0,0,0,0,0,29.2
344,0,0,0,669,0,0,0,29.3
345,0,0,0,0,0,0,0,29.3
347,0,0,0,603,0,0,0,29.3
348,0,0,0,0,0,0,0,29.3
350,0,0,0,696,0,0,0,29.3
351,0,0,0,0,0,0,0,29.3
352,0,0,0,594,0,0,0,29.3
352,0,0,0,0,0,0,0,29.3
355,0,0,0,681,0,0,0,31.7
356,0,0,0,0,0,0,0,31.7
356,0,0,0,621,0,0,0,31.7
357,0,0,0,0,0,0,0,31.7
361,0,0,0,0,639,0,0,31.7
362,0,0,0,0,0,0,0,31.7
363,0,0,0,594,0,0,0,31.7
364,0,0,0,0,0,0,0,31.7
365,0,0,0,642,0,0,0,30.6
366,0,0,0,0,0,0,0,30.6
367,0,0,0,600,0,0,0,30.6
368,0,0,0,0,0,0,0,30.6
371,0,0,0,0,669,0,0,30.6
372,0,0,0,0,0,0,0,30.6
373,0,0,0,681,0,0,0,30.6
374,0,0,0,0,0,0,0,30.6
376,0,0,0,609,0,0,0,34.8
377,0,0,0,0,0,0,0,34.8
380,0,0,0,0,645,0,0,34.8
382,0,0,0,0,0,0,0,34.8
383,0,0,0,672,0,0,0,34.8
383,0,0,0,0,0,0,0,34.8
387,0,0,0,0,726,0,0,38.7
389,0,0,0,0,0,0,0,38.7
400,0,0,0,0,645,0,0,44.6
403,0,0,0,0,0,0,0,44.6
407,0,0,0,0,702,0,0,49.9
408,0,0,0,0,0,0,0,49.9
412,0,0,0,0,636,0,0,49.9
414,0,0,0,0,0,0,0,49.9
420,0,0,0,0,705,0,0,62.6
421,0,0,0,0,0,0,0,62.6
425,0,0,0,0,642,0,0,66.1
427,0,0,0,0,0,0,0,66.1
435,0,0,0,0,735,0,0,82.4
436,0,0,0,0,1365,0,0,82.4
437,0,0,0,0,630,0,0,82.4
438,0,0,0,0,0,0,0,82.4
450,0,0,0,0,717,0,0,87.3
451,0,0,0,0,1377,0,0,87.3
452,0,0,0,0,660,0,0,87.3
453,0,0,0,0,0,0,0,87.3
465,0,0,0,0,708,0,0,94.8
466,0,0,0,0,1338,0,0,94.8
466,0,0,0,0,630,0,0,94.8
467,0,0,0,0,0,0,0,94.8
468,0,0,0,0,681,0,0,94.8
469,0,0,0,0,0,0,0,94.8
470,0,0,0,0,639,0,0,94.8
471,0,0,0,0,0,0,0,94.8
478,0,0,0,0,717,0,0,92.0
479,0,0,0,0,0,0,0,92.0
483,0,0,0,0,645,0,0,92.0
485,0,0,0,0,0,0,0,98.1
501,0,0,0,0,711,0,0,93.0
502,0,0,0,0,0,0,0,93.0
515,0,0,623,0,0,0,0,99.7
519,0,0,0,0,0,0,0,99.7
521,0,0,653,0,0,0,0,99.7
526,0,0,0,0,0,0,0,91.6
549,0,0,629,0,0,0,0,88.2
554,0,0,0,0,0,0,0,88.2
561,0,0,711,0,0,0,0,92.1
565,0,0,0,0,0,0,0,94.7
575,0,0,631,0,0,0,0,99.6
579,0,0,0,0,0,0,0,99.6
591,0,0,687,0,0,0,0,96.6
595,0,0,0,0,0,0,0,92.8
601,0,0,620,0,0,0,0,92.8
605,0,0,0,0,0,0,0,96.8
613,0,0,691,0,0,0,0,96.8
617,0,0,0,0,0,0,0,92.4
631,0,0,626,0,0,0,0,91.2
635,0,0,0,0,0,0,0,97.9
642,0,0,719,0,0,0,0,97.9
646,0,0,0,0,0,0,0,97.3
649,0,0,0,0,2472,0,0,97.3
651,0,0,0,0,0,0,0,97.3
662,0,0,615,0,0,0,0,90.7
666,0,0,0,0,0,0,0,92.6
673,0,0,702,0,0,0,0,92.6
677,0,0,0,0,0,0,0,97.4
681,0,0,641,0,0,0,0,97.4
685,0,0,0,0,0,0,0,96.7
687,0,0,0,0,2590,0,0,96.7
688,0,0,0,0,0,0,0,96.7
694,0,0,0,0,0,0,638,96.7
697,0,0,0,0,0,0,0,96.7
703,0,0,0,0,2496,0,0,96.7
705,0,0,0,0,0,0,0,86.3
706,0,0,0,0,0,0,668,86.3
710,0,0,0,0,0,0,0,86.3
720,0,0,0,0,2822,0,0,98.1
722,0,0,0,0,0,0,0,98.1
739,0,0,692,0,0,0,0,94.9
743,0,0,0,0,0,0,0,94.9
751,0,0,616,0,0,0,0,88.2
755,0,0,664,0,0,0,0,88.5
759,0,0,0,0,0,0,0,88.5
761,0,0,623,0,0,0,0,88.5
765,0,0,0,0,0,0,0,93.5
771,0,0,0,0,2502,0,0,93.5
772,0,0,0,0,0,0,0,93.5
780,0,0,0,0,0,0,644,97.5
783,0,0,0,0,0,0,0,97.5
795,0,0,703,0,0,0,0,95.1
798,0,0,703,0,0,0,725,95.1
800,0,0,0,0,0,0,725,95.1
802,0,0,0,0,0,0,0,95.1
804,0,0,0,0,2725,0,0,95.1
805,0,0,0,0,0,0,0,90.6
814,0,0,0,0,2460,0,0,90.6
816,0,0,0,0,0,0,0,92.2
816,0,0,0,0,0,0,646,92.2
819,0,0,0,0,0,0,0,92.2
823,0,0,631,0,0,0,0,92.2
827,0,0,631,0,2742,0,0,98.5
827,0,0,0,0,2742,0,0,98.5
829,0,0,0,0,0,0,0,98.5
834,0,0,0,0,0,0,702,98.5
837,0,0,0,0,0,0,1337,95.9
838,0,0,0,0,0,0,635,95.9
840,0,0,0,0,0,0,0,95.9
843,0,0,0,0,2484,0,0,95.9
844,0,0,0,0,0,0,0,95.9
864,0,0,695,0,0,0,0,95.8
868,0,0,0,0,0,0,0,96.9
869,0,0,0,0,0,0,706,96.9
872,0,0,0,0,1428,0,706,96.9
873,0,0,0,0,2856,0,0,96.9
874,0,0,0,0,1428,0,0,96.9
874,0,0,0,0,0,0,0,96.9
884,0,0,0,0,0,0,641,93.5
887,0,0,0,0,2440,0,641,97.6
887,0,0,0,0,2440,0,0,97.6
888,0,0,0,0,0,0,0,97.6
889,0,0,0,0,0,0,734,97.6
892,0,0,0,0,0,0,0,97.6
896,0,0,0,0,2788,0,0,99.5
897,0,0,0,0,0,0,0,99.5
904,0,0,0,0,1277,0,0,97.6
906,0,0,0,0,2554,0,630,97.6
907,0,0,0,0,1277,0,630,97.6
908,0,0,0,0,0,0,630,97.6
910,0,0,0,0,0,0,0,97.6
914,0,0,0,0,0,0,717,93.1
918,0,0,0,0,0,0,0,93.1
918,0,0,0,0,0,0,659,93.1
921,0,650,0,0,0,0,659,93.1
921,0,650,0,0,0,0,0,93.1
926,0,0,0,0,2746,0,0,97.7
927,0,0,0,0,0,0,0,97.7
933,0,680,0,0,0,0,0,97.7
938,0,0,0,0,0,0,0,97.8
940,0,0,0,0,2442,0,0,97.8
941,0,0,0,0,0,0,0,97.8
952,0,0,0,0,2634,0,0,98.8
953,0,0,0,0,0,0,0,98.8
959,0,0,0,0,0,0,706,96.3
962,0,0,0,0,0,0,0,96.3
962,0,0,0,0,2472,0,0,96.3
964,0,0,0,0,0,0,0,96.3
972,0,0,0,0,0,0,631,95.0
974,0,0,0,0,0,0,1310,95.0
975,0,0,0,0,0,0,679,95.9
977,0,0,0,0,0,0,1317,95.9
978,0,0,0,0,0,0,638,95.9
980,0,0,0,0,2790,0,0,95.9
981,0,0,0,0,0,0,0,95.9
983,0,656,0,0,0,0,0,95.9
988,0,0,0,0,0,0,0,93.9
988,0,0,0,0,2502,0,0,93.9
989,0,0,0,0,2502,0,717,93.9
991,0,0,0,0,0,0,717,93.9
991,0,737,0,0,0,0,717,93.9
992,0,1395,0,0,0,0,717,93.9
993,0,1395,0,0,0,0,0,93.9
994,0,1395,0,0,0,0,646,93.9
996,0,658,0,0,0,0,646,70.1
997,0,658,0,0,0,0,0,70.1
998,0,0,0,0,0,0,0,70.1
1000,0,714,0,0,0,0,0,70.1
1001,0,1361,0,0,0,0,0,70.1
1008,0,0,0,0,0,0,0,68.8
1008,0,0,0,0,2758,0,0,68.8
1010,0,0,0,0,0,0,709,68.8
1013,0,0,0,0,0,0,0,68.8
1017,0,717,0,0,0,0,0,56.7
1019,0,1370,0,0,0,0,0,56.7
1022,0,2116,0,0,0,0,0,56.7
1024,0,1399,0,0,0,0,0,56.7
1024,0,2041,0,0,0,0,0,56.7
1024,0,1388,0,0,0,0,0,56.7
1026,0,2117,0,0,0,0,0,41.2
1027,0,1371,0,0,0,0,0,41.2
1031,0,729,0,0,0,0,0,41.2
1031,0,1400,0,0,0,0,0,41.2
1034,0,671,0,0,0,0,0,41.2
1034,0,1389,0,0,0,0,0,41.2
1036,0,2031,0,0,0,0,0,27.4
1039,0,1360,0,0,0,0,0,27.4
1039,0,2051,0,0,0,0,0,27.4
1042,0,1333,0,0,0,0,0,27.4
1042,0,1983,0,0,0,0,0,27.4
1042,0,1341,0,0,0,0,0,27.4
1047,0,0,0,0,0,0,0,14.2
1047,0,729,0,0,0,0,0,14.2
1052,0,1387,0,0,0,0,0,14.2
1053,0,658,0,0,0,0,0,14.2
1060,0,0,0,0,0,0,0,5.0
1060,0,721,0,0,0,0,0,5.0
